pos	unmethyl	 methyl
11007845	0.4	0.6
11007869	0.4	0.6
11007889	0.6	0.4
11008616	0.5	0.5
11008635	0.5	0.5
11008647	0.5	0.5
11008862	0.4	0.6
11008942	0.3	0.7
11008952	0.3	0.7
11009019	0.6	0.4
11009125	0.7	0.3
11009296	0.6	0.4
11009467	0.5	0.5
11009769	0.4	0.6
11010103	0.7	0.3
11010151	0.4	0.6
11010174	0.6	0.4
11010285	0.5	0.5
11010317	0.2	0.8
11010659	0.7	0.3
11010733	0.7	0.3
11010740	0.7	0.3
11011310	0.5	0.5
11011345	0.3	0.7
11011385	0.5	0.5
11011535	0.6	0.4
11011581	0.7	0.3
11011645	0.5	0.5
11011667	0.3	0.7
11013248	0.5	0.5
11013565	0.5	0.5
11013573	0.5	0.5
11013590	0.5	0.5
11013641	0.3	0.7
11014173	0.7	0.3
11014195	0.9	0.1
11014257	0.1	0.9
11014372	0.5	0.5
11014393	0.7	0.3
11014444	0.7	0.3
11014448	0.7	0.3
11014457	0.7	0.3
11014514	0.7	0.3
11014583	0.5	0.5
11014591	0.5	0.5
11014604	0.5	0.5
11014610	0.5	0.5
11014707	0.7	0.3
11014736	0.4	0.6
11014744	0.4	0.6
11014794	0.3	0.7
11014813	0.3	0.7
11014894	0.3	0.7
11014906	0.3	0.7
11014969	0.4	0.6
11015026	0.9	0.1
11015031	0.9	0.1
11015039	0.9	0.1
11015042	0.9	0.1
11015044	0.9	0.1
11015049	0.9	0.1
11015057	0.9	0.1
11015064	0.9	0.1
11015067	0.9	0.1
11015078	0.9	0.1
11015081	0.9	0.1
11015084	0.9	0.1
11015093	0.9	0.1
11015101	0.9	0.1
11015120	0.9	0.1
11015126	0.9	0.1
11015134	0.9	0.1
11015165	0.3	0.7
11015168	0.3	0.7
11015192	0.6	0.4
11016317	0.6	0.4
11016325	0.6	0.4
11016337	0.6	0.4
11016695	0.3	0.7
11017134	0.5	0.5
11017169	0.3	0.7
11017209	0.7	0.3
11017359	0.7	0.3
11017438	0.7	0.3
11017469	0.6	0.4
11017580	0.6	0.4
11018198	0.5	0.5
11019226	0.7	0.3
11019682	0.5	0.5
11019726	0.3	0.7
11019854	0.6	0.4
11020102	0.2	0.8
11020705	0.5	0.5
11020718	0.5	0.5
11021547	0.2	0.8
11021932	0.7	0.3
11023425	0.6	0.4
11024005	0.5	0.5
11024096	0.6	0.4
11024328	0.5	0.5
