chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757192	1	0	2	2	2	0:U,3:U,4:U,6:U,7:U,14:U,24:M,26:M,28:M,30:M,31:M,34:M,38:M,42:M,45:M,46:M,58:M,64:M
1	757127	757196	1	3	1	1	1.95636	0:U,1:U,8:U,18:U,20:U,22:U,24:U,25:U,28:U,32:U,36:U,39:U,40:U,52:M,58:M,66:M,67:M
1	757172	757241	1	11	2	1	0.697469	7:U,13:U,21:U,22:U,33:M,36:M,39:M,40:M,41:M,43:M,48:M,57:M,58:M,60:M,69:M
1	757124	757193	1	2	1	1	2.0001	0:U,1:U,3:U,4:U,11:U,21:M,23:M,25:M,27:M,28:M,31:M,35:M,39:M,42:M,43:M,55:M,61:M,69:M
1	757188	757257	1	15	1	1	0.392326	5:U,6:U,17:M,20:M,23:M,24:M,25:M,27:M,32:M,41:M,42:M,44:M,53:M,55:M,57:M,58:M,62:M,63:M,65:M,67:M
1	757190	757259	1	17	1	1	0.254535	3:U,4:U,15:U,18:U,21:U,22:U,23:U,25:U,30:U,39:U,40:U,42:U,51:U,53:U,55:U,56:U,60:U,61:U,63:U,65:U,68:U,69:U
1	757168	757258	1	10	4	3	1.57976	11:M,17:M,25:M,26:M,37:M,40:M,43:M,44:M,45:M,47:M,52:M,61:M,62:M,64:M,73:M,75:M,77:M,78:M,82:M,83:M,85:M,87:M,90:M
1	757151	757231	1	6	2	2	1.79333	0:U,1:U,4:U,8:U,12:U,15:U,16:U,28:M,34:M,42:M,43:M,54:U,57:U,60:U,61:U,62:U,64:U,69:U,78:U,79:U
1	757165	757234	1	8	1	1	1	1:M,2:M,14:M,20:M,28:M,29:M,40:U,43:U,46:U,47:U,48:U,50:U,55:U,64:U,65:U,67:U
1	757145	757217	1	4	2	2	2	0:M,2:M,4:M,6:M,7:M,10:M,14:M,18:M,21:M,22:M,34:M,40:M,48:M,49:M,60:M,63:M,66:M,67:M,68:M,70:M
1	757197	757295	1	20	2	2	3.53039	8:M,11:M,14:M,15:M,16:M,18:M,23:M,32:M,33:M,35:M,44:M,46:M,48:M,49:M,53:M,54:M,56:M,58:M,61:M,62:M,63:M,77:M,79:M,81:M,84:M,86:M,87:M,88:M,93:M,94:M
1	757200	757269	1	21	1	1	1	5:U,8:U,11:U,12:U,13:U,15:U,20:U,29:U,30:U,32:U,41:U,43:U,45:U,46:U,50:U,51:U,53:U,55:U,58:U,59:U,60:U
1	757173	757262	1	12	5	4	2.20091	6:M,12:M,20:M,21:M,32:U,35:U,38:U,39:U,40:U,42:U,47:U,56:U,57:U,59:U,68:U,70:U,72:U,73:U,77:U,78:U,80:U,82:U,85:U,86:U,87:U
1	757233	757306	1	27	2	2	1.80436	8:M,10:M,12:M,13:M,17:M,18:M,20:M,22:M,25:M,26:M,27:M,41:M,43:M,45:M,48:M,50:M,51:M,52:M,57:M,58:M,68:U
1	757166	757235	1	9	1	1	0.108949	0:M,1:M,13:M,19:M,27:M,28:M,39:M,42:M,45:M,46:M,47:M,49:M,54:M,63:M,64:M,66:M
1	757216	757285	1	24	1	1	1.18667	4:U,13:U,14:U,16:U,25:U,27:U,29:U,30:U,34:U,35:U,37:U,39:U,42:U,43:U,44:U,58:M,60:M,62:M,65:M,67:M,68:M,69:M
1	757257	757327	1	37	2	2	0	1:M,2:M,3:M,17:M,19:M,21:M,24:M,26:M,27:M,28:M,33:M,34:M,44:M,54:M,56:M,63:M,66:M,68:M,70:M
1	757208	757282	1	22	2	2	2	0:U,3:U,4:U,5:U,7:U,12:U,21:U,22:U,24:U,33:U,35:U,37:U,38:U,42:U,43:U,45:U,47:U,50:U,51:U,52:U,66:U,68:U,70:U,73:U
1	757249	757318	1	32	2	0.8	0.8	1:M,2:M,4:M,6:M,9:M,10:M,11:M,25:M,27:M,29:M,32:M,34:M,35:M,36:M,41:M,42:M,52:U,62:U,64:U
